unique_values,counts
"['Drug - Protein - MolecularActivity - BiologicalProcess - OrganismTaxon - Disease', 'Drug - Protein - ChemicalSubstance - CellularComponent - BiologicalProcess - OrganismTaxon - Disease']",3
['Drug - Protein - BiologicalProcess - ChemicalSubstance - GrossAnatomicalStructure - PhenotypicFeature - Disease'],3
"['Drug - Protein - BiologicalProcess - Disease', 'Drug - Protein - ChemicalSubstance - Disease']",3
['Drug - GrossAnatomicalStructure - BiologicalProcess - PhenotypicFeature - Disease'],2
['Drug - GeneFamily - PhenotypicFeature - Disease'],2
"['Drug - GeneFamily - MolecularActivity - ChemicalSubstance - CellularComponent - OrganismTaxon - Disease', 'Drug - GeneFamily - BiologicalProcess - ChemicalSubstance - CellularComponent - OrganismTaxon - Disease']",2
['Drug - GeneFamily - MolecularActivity - BiologicalProcess - OrganismTaxon - Disease'],2
"['Drug - OrganismTaxon - Disease', 'Drug - BiologicalProcess - Disease']",2
['Drug - ChemicalSubstance - Protein - CellularComponent - BiologicalProcess - PhenotypicFeature - Disease'],2
['Drug - GeneFamily - Pathway - BiologicalProcess - PhenotypicFeature - Disease'],2
['Drug - Protein - Pathway - BiologicalProcess - GrossAnatomicalStructure - PhenotypicFeature - Disease'],2
['Drug - MolecularActivity - Protein - Cell - BiologicalProcess - Disease'],2
"['Drug - ChemicalSubstance - Disease', 'Drug - MolecularActivity - ChemicalSubstance - Disease']",2
['Drug - Protein - MolecularActivity - GeneFamily - BiologicalProcess - Disease'],2
['Drug - Protein - GrossAnatomicalStructure - ChemicalSubstance - Pathway - Disease'],2
['Drug - ChemicalSubstance - Protein - Pathway - PhenotypicFeature - Disease'],2
"['Drug - Protein - BiologicalProcess - PhenotypicFeature - Disease', 'Drug - Protein - ChemicalSubstance - PhenotypicFeature - Disease']",2
['Drug - Protein - BiologicalProcess - Pathway - Disease'],2
['Drug - Protein - Cell - BiologicalProcess - Disease'],2
"['Drug - ChemicalSubstance - CellularComponent - BiologicalProcess - OrganismTaxon - Disease', 'Drug - ChemicalSubstance - GeneFamily - BiologicalProcess - OrganismTaxon - Disease']",2
"['Drug - BiologicalProcess - Disease', 'Drug - Protein - ChemicalSubstance - BiologicalProcess - Disease']",2
"['Drug - Protein - BiologicalProcess - OrganismTaxon - Disease', 'Drug - Protein - MolecularActivity - OrganismTaxon - Disease']",2
"['Drug - BiologicalProcess - Disease', 'Drug - Protein - Disease']",2
['Drug - Protein - BiologicalProcess - ChemicalSubstance - OrganismTaxon - Disease'],2
"['Drug - GrossAnatomicalStructure - Disease', 'Drug - BiologicalProcess - Disease']",2
['Drug - GeneFamily - ChemicalSubstance - BiologicalProcess - Disease'],2
['Drug - GeneFamily - ChemicalSubstance - PhenotypicFeature - Disease'],2
"['Drug - ChemicalSubstance - Protein - BiologicalProcess - Disease', 'Drug - ChemicalSubstance - BiologicalProcess - Disease']",2
"['Drug - Protein - ChemicalSubstance - Disease', 'Drug - Protein - ChemicalSubstance - PhenotypicFeature - Disease', 'Drug - Protein - BiologicalProcess - ChemicalSubstance - Disease', 'Drug - Protein - BiologicalProcess - ChemicalSubstance - PhenotypicFeature - Disease']",2
"['Drug - Protein - PhenotypicFeature - Disease', 'Drug - Protein - ChemicalSubstance - BiologicalProcess - Disease']",2
['Drug - Protein - MolecularActivity - Pathway - BiologicalProcess - Disease'],2
['Drug - Protein - PhenotypicFeature - BiologicalProcess - OrganismTaxon - Disease'],2
"['Drug - Protein - BiologicalProcess - PhenotypicFeature - Disease', 'Drug - ChemicalSubstance - BiologicalProcess - PhenotypicFeature - Disease']",2
"['Drug - Protein - BiologicalProcess - GrossAnatomicalStructure - Disease', 'Drug - Protein - BiologicalProcess - Disease']",2
['Drug - Protein - BiologicalProcess - Cell - PhenotypicFeature - Disease'],2
['Drug - GeneFamily - PhenotypicFeature - OrganismTaxon - Disease'],2
"['Drug - BiologicalProcess - PhenotypicFeature - Disease', 'Drug - PhenotypicFeature - Disease']",2
"['Drug - GeneFamily - BiologicalProcess - PhenotypicFeature - Disease', 'Drug - GeneFamily - BiologicalProcess - Disease']",2
['Drug - CellularComponent - BiologicalProcess - PhenotypicFeature - OrganismTaxon - Disease'],2
